移动,  东北,  黑龙江,  3, 100.00%
移动,  东北,  Total,  3, 100.00%
移动,  华北,  天津,  1, 100.00%
移动,  华北,  Total,  1, 100.00%
移动,  华中,  湖北,  3, 100.00%
移动,  华中,  Total,  3, 100.00%
移动,  华东,  浙江,  2, 10.00%
移动,  华东,  安徽,  8, 40.00%
移动,  华东,  福建,  7, 35.00%
移动,  华东,  江苏,  2, 10.00%
移动,  华东,  江西,  1, 5.00%
移动,  华东,  Total,  20, 100.00%
移动,  华南,  广东,  6, 100.00%
移动,  华南,  Total,  6, 100.00%
移动,  西北,  陕西,  3, 100.00%
移动,  西北,  Total,  3, 100.00%
移动,  西南,  四川,  6, 66.67%
移动,  西南,  重庆,  3, 33.33%
移动,  西南,  Total,  9, 100.00%
移动,  Total,  ,  45, 100.00%
联通,  东北,  黑龙江,  2, 100.00%
联通,  东北,  Total,  2, 100.00%
联通,  华北,  河北,  4, 33.33%
联通,  华北,  北京,  5, 41.67%
联通,  华北,  内蒙古,  2, 16.67%
联通,  华北,  天津,  1, 8.33%
联通,  华北,  Total,  12, 100.00%
联通,  华中,  河南,  11, 100.00%
联通,  华中,  Total,  11, 100.00%
联通,  华东,  浙江,  1, 16.67%
联通,  华东,  山东,  2, 33.33%
联通,  华东,  江苏,  3, 50.00%
联通,  华东,  Total,  6, 100.00%
联通,  华南,  广东,  7, 100.00%
联通,  华南,  Total,  7, 100.00%
联通,  西北,  宁夏,  1, 100.00%
联通,  西北,  Total,  1, 100.00%
联通,  西南,  云南,  1, 33.33%
联通,  西南,  四川,  2, 66.67%
联通,  西南,  Total,  3, 100.00%
联通,  Total,  ,  42, 100.00%
电信,  东北,  辽宁,  5, 100.00%
电信,  东北,  Total,  5, 100.00%
电信,  华北,  河北,  6, 54.55%
电信,  华北,  山西,  4, 36.36%
电信,  华北,  天津,  1, 9.09%
电信,  华北,  Total,  11, 100.00%
电信,  华中,  湖北,  1, 11.11%
电信,  华中,  湖南,  4, 44.44%
电信,  华中,  河南,  4, 44.44%
电信,  华中,  Total,  9, 100.00%
电信,  华东,  安徽,  4, 5.63%
电信,  华东,  江苏,  45, 63.38%
电信,  华东,  福建,  4, 5.63%
电信,  华东,  江西,  3, 4.23%
电信,  华东,  浙江,  15, 21.13%
电信,  华东,  Total,  71, 100.00%
电信,  华南,  广西,  2, 10.00%
电信,  华南,  广东,  12, 60.00%
电信,  华南,  海南,  6, 30.00%
电信,  华南,  Total,  20, 100.00%
电信,  西北,  陕西,  3, 37.50%
电信,  西北,  宁夏,  1, 12.50%
电信,  西北,  新疆,  3, 37.50%
电信,  西北,  青海,  1, 12.50%
电信,  西北,  Total,  8, 100.00%
电信,  西南,  四川,  2, 66.67%
电信,  西南,  贵州,  1, 33.33%
电信,  西南,  Total,  3, 100.00%
电信,  Total,  ,  127, 100.00%
