移动, 东北, 黑龙江, 3
移动, 东北, Total, 3
移动, 华北, 天津, 1
移动, 华北, Total, 1
移动, 华中, 湖北, 3
移动, 华中, Total, 3
移动, 华东, 浙江, 2
移动, 华东, 安徽, 8
移动, 华东, 福建, 7
移动, 华东, 江苏, 2
移动, 华东, 江西, 1
移动, 华东, Total, 20
移动, 华南, 广东, 6
移动, 华南, Total, 6
移动, 西北, 陕西, 3
移动, 西北, Total, 3
移动, 西南, 四川, 6
移动, 西南, 重庆, 3
移动, 西南, Total, 9
移动, Total, , 45
联通, 东北, 黑龙江, 2
联通, 东北, Total, 2
联通, 华北, 河北, 4
联通, 华北, 北京, 5
联通, 华北, 内蒙古, 2
联通, 华北, 天津, 1
联通, 华北, Total, 12
联通, 华中, 河南, 11
联通, 华中, Total, 11
联通, 华东, 浙江, 1
联通, 华东, 山东, 2
联通, 华东, 江苏, 3
联通, 华东, Total, 6
联通, 华南, 广东, 7
联通, 华南, Total, 7
联通, 西北, 宁夏, 1
联通, 西北, Total, 1
联通, 西南, 云南, 1
联通, 西南, 四川, 2
联通, 西南, Total, 3
联通, Total, , 42
电信, 东北, 辽宁, 5
电信, 东北, Total, 5
电信, 华北, 河北, 6
电信, 华北, 山西, 4
电信, 华北, 天津, 1
电信, 华北, Total, 11
电信, 华中, 湖北, 1
电信, 华中, 湖南, 4
电信, 华中, 河南, 4
电信, 华中, Total, 9
电信, 华东, 安徽, 4
电信, 华东, 江苏, 45
电信, 华东, 福建, 4
电信, 华东, 江西, 3
电信, 华东, 浙江, 15
电信, 华东, Total, 71
电信, 华南, 广西, 2
电信, 华南, 广东, 12
电信, 华南, 海南, 6
电信, 华南, Total, 20
电信, 西北, 陕西, 3
电信, 西北, 宁夏, 1
电信, 西北, 新疆, 3
电信, 西北, 青海, 1
电信, 西北, Total, 8
电信, 西南, 四川, 2
电信, 西南, 贵州, 1
电信, 西南, Total, 3
电信, Total, , 127
